#At time x allocated y bytes for process z from i to j
At time 2 allocated 200 bytes for process 1 from 0 to 255
At time 7 deallocated 200 bytes for process 1 from 0 to 255
At time 7 allocated 100 bytes for process 2 from 0 to 255
At time 9 deallocated 100 bytes for process 2 from 0 to 255
At time 9 allocated 50 bytes for process 5 from 0 to 255
At time 13 deallocated 50 bytes for process 5 from 0 to 255
At time 13 allocated 150 bytes for process 3 from 0 to 255
At time 23 deallocated 150 bytes for process 3 from 0 to 255
At time 23 allocated 250 bytes for process 4 from 0 to 255
At time 24 deallocated 250 bytes for process 4 from 0 to 255
